City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,guatire,10.4762,-66.5427,25.94,73,10,1.7,VE,1675430495
171,namatanai,-3.6667,152.4333,27.19,77,100,2.92,PG,1675430496
172,nago,26.5881,127.9761,16.24,72,93,4.72,JP,1675430497
173,vestmannaeyjar,63.4427,-20.2734,3.55,93,100,20.58,IS,1675430497
174,kalmunai,7.4167,81.8167,25.71,82,11,2.9,LK,1675430498
175,yar-sale,66.8333,70.8333,-15.87,100,99,2.23,RU,1675430498
176,whyalla,-33.0333,137.5833,18.09,52,90,9.55,AU,1675430441
177,tuatapere,-46.1333,167.6833,17.81,96,82,1.77,NZ,1675430499
178,hobyo,5.3505,48.5268,26.42,59,0,8.81,SO,1675430499
179,castro,-24.7911,-50.0119,19.48,90,99,3.84,BR,1675430500
180,faanui,-16.4833,-151.75,27.59,75,7,7.42,PF,1675430500
181,arraial do cabo,-22.9661,-42.0278,30.98,62,0,4.12,BR,1675430501
182,saint-leu,-21.15,55.2833,27.48,80,43,3.51,RE,1675430501
183,kavieng,-2.5744,150.7967,28.05,76,100,4.04,PG,1675430501
184,keflavik,64.0049,-22.5624,4.24,93,100,19.03,IS,1675430502
185,japura,-0.3167,102.35,24.79,89,59,1.75,ID,1675430502
186,thompson,55.7435,-97.8558,-33.91,68,75,1.54,CA,1675430503
187,boguchany,58.3814,97.4531,-18.85,100,84,1.04,RU,1675430503
188,dharchula,29.85,80.5333,13.42,34,0,2.61,IN,1675430504
189,seoul,37.5683,126.9778,-3.31,68,0,2.06,KR,1675430504
190,doka,13.5167,35.7667,33.2,18,98,5.8,SD,1675430504
191,terrace bay,48.7834,-87.1,-28.62,98,20,5.22,CA,1675430505
192,saint-philippe,-21.3585,55.7679,27.77,89,68,6.44,RE,1675430505
193,fortuna,40.5982,-124.1573,8.19,93,100,9.26,US,1675430190
194,durazno,-33.4131,-56.5006,23.97,73,75,5.66,UY,1675430506
195,albanel,48.8832,-72.4487,-30.92,51,100,8.23,CA,1675430506
196,upernavik,72.7868,-56.1549,-23.56,97,100,3.33,GL,1675430507
197,gohana,29.1333,76.7,16.75,44,0,1.78,IN,1675430507
198,mubende,0.5606,31.39,32.96,15,99,2.98,UG,1675430507
199,mindelo,16.8901,-24.9804,23.75,60,75,12.35,CV,1675430508
200,rocha,-34.4833,-54.3333,23.11,72,72,4.41,UY,1675430508
201,puerto cabezas,14.0351,-83.3888,22.98,94,75,3.09,NI,1675430509
